index,Intercept,Slope,Curvature,Lambda,Residuals
2022-07-17,0.029335500416905486,-0.01309298999650574,0.024959237004988834,0.41436753467468873,2.1064276874841374e-06
2022-07-18,0.029839320426734414,-0.014884272335778059,0.02525871398959177,0.321885169946745,1.509501360023152e-06
2022-07-19,0.030475600516394988,-0.015980752050427413,0.02658115808313429,0.32330223062093805,1.9020241587282789e-06
2022-07-20,0.030921652192940238,-0.016353910087361895,0.025340467462803672,0.3244161132344065,2.055075625548933e-06
2022-07-21,0.02896772116189762,-0.011235329470818815,0.02317511712880183,0.3929727110979558,2.171906173748731e-06
2022-07-22,0.027594739847396754,-0.009989059379317699,0.023090154025871515,0.360169903019681,2.2503927749904483e-06
2022-07-23,0.027594739847396754,-0.009989059379317699,0.023090154025871515,0.360169903019681,2.2503927749904483e-06
2022-07-24,0.027594739847396754,-0.009989059379317699,0.023090154025871515,0.360169903019681,2.2503927749904483e-06
2022-07-25,0.028038027394713148,-0.01161407021147025,0.025672416893234712,0.3017386423812485,2.3280103308958635e-06
2022-07-26,0.02794230613081537,-0.010082886305407301,0.023893575680098058,0.3587115551543949,1.7829880171691848e-06
2022-07-27,0.02739661274191065,-0.009511169177856816,0.022442019497407848,0.38400505055968,1.8915402105010733e-06
2022-07-28,0.026057953376026278,-0.00742195476402291,0.021705753332321727,0.39204985138440646,2.6955491920995243e-06
2022-07-29,0.025793028545079328,-0.006871585523785679,0.02348039790917755,0.44718583780923515,3.2596389764441058e-06
2022-07-30,0.025793028545079328,-0.006871585523785679,0.02348039790917755,0.44718583780923515,3.2596389764441058e-06
2022-07-31,0.025793028545079328,-0.006871585523785679,0.02348039790917755,0.44718583780923515,3.2596389764441058e-06
2022-08-01,0.025264107536069166,-0.006616464613444267,0.026293278853426378,0.39439931821972407,1.8511200201590789e-06
2022-08-02,0.026926347653062968,-0.008085930161896356,0.02663045218477213,0.44620978418785207,2.193763905471471e-06
2022-08-03,0.026454881843667327,-0.007865609405490762,0.029577856287339298,0.49608090533047405,2.387119508672571e-06
2022-08-04,0.025758745444909394,-0.007067036546386277,0.028974114146375123,0.47324963666444175,1.340679790426705e-06
2022-08-05,0.027271521652036813,-0.008582600004246906,0.03284897068760397,0.5079846992658369,1.580746424257066e-06
2022-08-06,0.027271521652036813,-0.008582600004246906,0.03284897068760397,0.5079846992658369,1.580746424257066e-06
2022-08-07,0.027271521652036813,-0.008582600004246906,0.03284897068760397,0.5079846992658369,1.580746424257066e-06
2022-08-08,0.026675073306977656,-0.007997141276718113,0.03436453014683308,0.4737499998376119,1.5607937386175066e-06
2022-08-09,0.02693213291493642,-0.008084909916755208,0.03531792151994061,0.5006796042608258,1.6544436159158534e-06
2022-08-10,0.026836518467646755,-0.007802283294699208,0.03294613767240068,0.4850958476091691,1.584024110150007e-06
2022-08-11,0.02787472115394182,-0.008245648289315668,0.02893309781778465,0.4885360564253873,9.87093897194015e-07
2022-08-12,0.02753965795024197,-0.008217177500844908,0.031240332016576694,0.48701464845195014,1.6939522252432317e-06
2022-08-13,0.02753965795024197,-0.008217177500844908,0.031240332016576694,0.48701464845195014,1.6939522252432317e-06
2022-08-14,0.02753965795024197,-0.008217177500844908,0.031240332016576694,0.48701464845195014,1.6939522252432317e-06
2022-08-15,0.027107663737856818,-0.007358181366529883,0.03061599242241411,0.4574459427521874,1.6728812297340713e-06
2022-08-16,0.02727597488836306,-0.007464275612537668,0.031360159046588336,0.49617494964652836,1.594996273584652e-06
2022-08-17,0.028394249883358983,-0.00914913294692598,0.030623437268059713,0.47002781092518725,2.6837947541879404e-06
2022-08-18,0.0285151211582133,-0.009060981343184013,0.02822665866901406,0.4317863379589294,2.4940990268312447e-06
2022-08-19,0.029885556132392105,-0.010921057782074325,0.025954650272380225,0.36734254069205996,2.6577492750647753e-06
2022-08-20,0.029885556132392105,-0.010921057782074325,0.025954650272380225,0.36734254069205996,2.6577492750647753e-06
2022-08-21,0.029885556132392105,-0.010921057782074325,0.025954650272380225,0.36734254069205996,2.6577492750647753e-06
2022-08-22,0.030469446093940616,-0.011501060057402004,0.027218304727866165,0.36046209976807997,3.0656891550006512e-06
2022-08-23,0.03081462864861907,-0.011797706648827719,0.024755460617053734,0.33988690702347796,2.8324180908871513e-06
2022-08-24,0.031242900993904598,-0.012399572735234947,0.026347461977577025,0.3412850163732116,2.7854526961014586e-06
2022-08-25,0.0300810415144431,-0.008590068723965553,0.0259664574037645,0.4270261512787233,2.9531994072790576e-06
2022-08-26,0.03039566314956676,-0.009391901232025818,0.02681694378172853,0.41633445834194766,3.2600455043948038e-06
2022-08-27,0.03039566314956676,-0.009391901232025818,0.02681694378172853,0.41633445834194766,3.2600455043948038e-06
2022-08-28,0.03039566314956676,-0.009391901232025818,0.02681694378172853,0.41633445834194766,3.2600455043948038e-06
2022-08-29,0.031279582419673525,-0.00997258196870769,0.026190484330699645,0.3855794351803854,2.727580595593361e-06
2022-08-30,0.03094820693968751,-0.009589097601681305,0.02861633123870701,0.43204843136985127,2.5452419206382235e-06
2022-08-31,0.03149713153115223,-0.010959691926598646,0.02807599882963088,0.38802773888520964,1.7988887192531255e-06
2022-09-01,0.03260521960405501,-0.0100363799419472,0.02385494787589478,0.42985415025403617,1.6020678333109407e-06
2022-09-02,0.03205014250728304,-0.010458719375628416,0.02345089988222335,0.36281269346133355,1.2686549202479945e-06
2022-09-03,0.03205014250728304,-0.010458719375628416,0.02345089988222335,0.36281269346133355,1.2686549202479945e-06
2022-09-04,0.03205014250728304,-0.010458719375628416,0.02345089988222335,0.36281269346133355,1.2686549202479945e-06
2022-09-05,0.03205014250728304,-0.010458719375628416,0.02345089988222335,0.36281269346133355,1.2686549202479945e-06
2022-09-06,0.033418891899991046,-0.013131588316317578,0.025553679519207135,0.3213627478647006,1.2588142833102035e-06
2022-09-07,0.03292429828576999,-0.015627717360316356,0.029598847163050085,0.26371777539718616,1.8071745285044894e-06
2022-09-08,0.032872893264535144,-0.010874578165045265,0.025080403745362866,0.3519858336613746,1.2752718874496196e-06
2022-09-09,0.033264198587697726,-0.011514061758717926,0.027553365866027975,0.360980217317373,1.5430974056477599e-06
2022-09-10,0.033264198587697726,-0.011514061758717926,0.027553365866027975,0.360980217317373,1.5430974056477599e-06
2022-09-11,0.033264198587697726,-0.011514061758717926,0.027553365866027975,0.360980217317373,1.5430974056477599e-06
2022-09-12,0.033653665993493634,-0.011746272990026469,0.027053110308462996,0.3280849137087559,8.353372554143415e-07
2022-09-13,0.03411026517766292,-0.014085147216767287,0.03675184861090211,0.33419053372601526,1.5174919730454603e-06
2022-09-14,0.03390781054446442,-0.013623595589944113,0.03824862243204,0.3642342142449479,1.996052485229552e-06
2022-09-15,0.033962158071721066,-0.01024432256462042,0.03558838143425738,0.4640930245984144,2.0979385439274223e-06
2022-09-16,0.033941301415852526,-0.011268766239227217,0.03590593018439615,0.42920358065401876,1.585660523480162e-06
2022-09-17,0.033941301415852526,-0.011268766239227217,0.03590593018439615,0.42920358065401876,1.585660523480162e-06
2022-09-18,0.033941301415852526,-0.011268766239227217,0.03590593018439615,0.42920358065401876,1.585660523480162e-06
2022-09-19,0.034675808458075226,-0.01357460574743044,0.04036549401498172,0.3775297888375531,2.423903943330359e-06
2022-09-20,0.03576774097191977,-0.015360994678281155,0.037797831122494276,0.3452544485381962,2.6282456824865417e-06
2022-09-21,0.034711463498617846,-0.013056542516050944,0.0413914592022023,0.4268298648371459,3.3521192854115903e-06
2022-09-22,0.03675125881168592,-0.013056089517073904,0.035218636656917005,0.4698813375956402,3.455753485073284e-06
2022-09-23,0.036110050390979385,-0.012517647195004665,0.04039993672513458,0.5576152011359253,3.969948479563252e-06
2022-09-24,0.036110050390979385,-0.012517647195004665,0.04039993672513458,0.5576152011359253,3.969948479563252e-06
2022-09-25,0.036110050390979385,-0.012517647195004665,0.04039993672513458,0.5576152011359253,3.969948479563252e-06
